iter	RMSE
153	104701.9413
154	104536.9993
155	104413.0654
156	104264.138
157	104114.0282
158	103989.3914
159	103839.0209
160	103751.6449
161	103625.6636
162	103452.9194
163	103321.4864
164	103202.1491
165	103080.4283
166	102937.7555
167	102760.6187
168	102638.1869
169	102487.4363
170	102375.3507
171	102283.7813
172	102170.5606
173	102054.866
174	101926.4481
175	101798.3259
176	101682.2388
177	101568.3949
178	101461.8815
179	101401.008
180	101385.8878
181	101293.1071
182	101218.4738
183	101092.8367
184	100988.9699
185	100860.9352
186	100847.5975
187	100744.4749
188	100649.9548
189	100530.4635
190	100403.7914
191	100313.4449
192	100238.3092
193	100158.9322
194	100076.7531
195	99975.93909
196	99876.0899
197	99810.87124
198	99747.89476
199	99622.91081
200	99532.26614
201	99444.36204
202	99364.29211
203	99271.53369
204	99207.25775
205	99122.4216
206	99044.06472
207	98953.56793
208	98869.05829
209	98773.23752
210	98705.66278
211	98627.00442
212	98574.65989
213	98560.13904
214	98547.82219
215	98520.12089
216	98454.39923
217	98365.72375
218	98273.29812
219	98212.97502
220	98186.03673
221	98079.32966
222	98018.50698
223	98006.57234
224	97977.0598
225	97966.97617
226	97886.80197
227	97804.58043
228	97716.11032
229	97706.03385
230	97686.53612
231	97621.18928
232	97548.5941
233	97514.09634
234	97449.32946
235	97405.79897
236	97331.669
237	97267.34161
238	97202.54523
239	97185.96868
240	97102.95303
241	97047.369
242	97001.97808
243	96952.47474
244	96866.5053
245	96815.6205
246	96765.53922
247	96731.86464
248	96673.76174
249	96603.62328
250	96533.62565
251	96500.20336
252	96466.91113
253	96420.34071
254	96362.21036
255	96355.81702
256	96317.23612
257	96279.68912
258	96229.62611
259	96214.6453
260	96165.16978
261	96111.34373
262	96103.24141
263	96051.57787
264	95992.39388
265	95925.97213
266	95912.12284
267	95860.9916
268	95812.53448
269	95768.61559
270	95715.28283
271	95652.68406
272	95608.30863
273	95567.77663
274	95490.32731
275	95482.74101
276	95449.63523
277	95394.15245
278	95386.6202
279	95340.73412
280	95279.51783
281	95269.067
282	95233.17502
283	95184.30054
284	95135.46871
285	95101.33628
286	95040.8343
287	95038.0665
288	95004.97259
289	94962.30074
290	94905.11827
291	94867.12685
292	94858.5794
293	94848.72996
294	94833.62574
295	94814.74523
296	94802.86032
297	94754.29199
298	94704.21041
299	94671.00965
300	94631.05857
301	94606.54116
302	94600.52429
303	94548.61466
304	94542.3558
305	94523.45177
306	94493.41797
307	94490.80765
308	94468.38803
309	94460.57457
310	94408.84375
311	94365.65768
312	94331.15506
313	94300.87246
314	94290.00783
315	94263.65882
316	94218.61972
317	94177.03644
318	94168.73742
319	94163.13643
320	94117.58236
321	94080.96306
322	94037.39257
323	94002.08451
324	93950.12325
325	93938.65056
326	93930.04809
327	93881.87255
328	93851.49599
329	93826.79464
330	93797.99685
331	93756.40714
332	93733.40742
333	93705.81184
334	93668.39558
335	93658.98298
336	93621.59803
337	93591.58541
338	93582.97154
339	93535.70286
340	93529.42232
341	93500.09078
342	93497.35747
343	93452.24564
344	93446.66276
345	93442.17538
346	93414.40812
347	93391.357
348	93386.52
349	93346.42903
350	93316.8307
351	93306.79278
352	93296.95189
353	93292.07763
354	93268.48031
355	93251.02468
356	93243.1814
357	93240.26728
358	93179.19002
359	93150.54702
360	93100.74718
361	93074.56853
362	93071.16198
363	93065.26782
364	93062.09849
365	93029.5606
366	92998.3297
367	92982.56533
368	92978.3776
369	92972.60915
370	92939.67489
371	92902.29155
372	92896.8543
373	92885.4648
374	92879.79428
375	92843.03409
376	92802.49432
377	92798.07794
378	92776.34236
379	92739.79634
380	92699.70473
381	92693.36117
382	92664.49899
383	92622.2162
384	92595.14802
385	92565.61578
386	92537.73175
387	92505.23751
388	92470.81834
389	92467.31387
390	92459.37811
391	92438.77461
392	92415.20056
393	92409.21246
394	92387.66592
395	92345.37621
396	92337.04058
397	92323.64963
398	92316.16704
399	92312.33849
400	92273.16013
401	92267.91218
402	92242.44413
403	92205.78631
404	92178.53437
405	92171.08946
406	92165.67456
407	92160.15218
408	92153.9962
409	92133.57179
410	92130.88385
411	92123.13613
412	92100.64251
413	92093.26166
414	92070.15398
415	92048.02559
416	92027.45264
417	92022.25667
418	91995.15796
419	91993.45766
420	91973.59617
421	91955.13303
422	91939.35679
423	91892.45109
424	91860.90829
425	91845.75199
426	91817.27117
427	91807.31107
428	91802.17047
429	91784.41877
430	91779.65707
431	91721.32542
432	91680.50641
433	91662.93495
434	91648.61885
435	91632.88384
436	91627.84486
437	91623.41392
438	91604.44308
439	91599.24083
440	91568.8181
441	91563.74957
442	91556.93032
443	91520.48208
444	91507.74469
445	91504.12539
446	91489.47193
447	91472.2703
448	91452.77517
449	91428.26713
450	91425.31416
451	91411.3176
452	91371.91853
453	91343.34647
454	91338.89949
455	91300.01141
456	91295.9004
457	91273.71613
458	91269.94456
459	91259.81636
460	91253.21607
461	91247.1661
462	91227.10803
463	91206.39691
464	91168.16887
465	91145.86595
466	91130.40705
467	91113.78439
468	91094.42729
469	91092.28699
470	91050.805
471	91040.77013
472	91008.0118
473	90994.40887
474	90987.60653
475	90970.64841
476	90958.25271
477	90931.3384
478	90916.60754
479	90915.20155
480	90883.24003
481	90879.13168
482	90876.62037
483	90870.57434
484	90864.49937
485	90839.26272
486	90795.24668
487	90771.24806
488	90767.85274
489	90763.06123
490	90761.62269
491	90755.1248
492	90751.65021
493	90731.78506
494	90696.66024
495	90665.21771
496	90637.67107
497	90617.84294
498	90613.21007
499	90609.3215
500	90602.38039
501	90570.57407
502	90567.78448
503	90561.09174
504	90521.34132
505	90509.853
506	90506.05136
507	90504.78453
508	90500.29894
509	90477.91203
510	90473.35497
511	90471.08902
512	90465.89651
513	90449.65848
514	90447.30294
515	90444.80015
516	90442.9743
517	90408.73529
518	90406.45174
519	90400.45496
520	90396.95541
521	90395.31638
522	90393.91581
523	90390.00909
524	90388.72356
525	90376.558
526	90355.46243
527	90350.75725
528	90323.29812
529	90321.85093
530	90285.16475
531	90267.30946
532	90264.60765
533	90261.85507
534	90259.58728
535	90248.09793
536	90241.92821
537	90240.80398
538	90226.19228
539	90198.79748
540	90193.07334
541	90191.6275
542	90187.78379
543	90182.65704
544	90179.23543
545	90170.64026
546	90167.25105
547	90164.83569
548	90159.94623
549	90153.41372
550	90147.43185
551	90124.14047
552	90115.34254
553	90087.16967
554	90074.92811
555	90047.35886
556	90000.38789
557	89996.69117
558	89976.21256
559	89965.11641
560	89956.97207
561	89953.74478
562	89952.57892
563	89949.19311
564	89945.81621
565	89943.20407
566	89941.99091
567	89940.50937
568	89938.88864
569	89935.72857
570	89931.00491
571	89913.12259
572	89895.75478
573	89869.52728
574	89858.07402
575	89856.52464
576	89838.51282
577	89834.56018
578	89811.29859
579	89798.70882
580	89797.57064
581	89795.71999
582	89794.10403
583	89790.33593
584	89781.08391
585	89767.93908
586	89764.5959
587	89761.9252
588	89742.16571
589	89740.01956
590	89737.55524
591	89733.74067
592	89730.79194
593	89729.73397
594	89727.72381
595	89725.46084
596	89722.5137
597	89717.65283
598	89714.75664
599	89713.65395
600	89693.40859
601	89691.53468
602	89689.94318
603	89687.08191
604	89651.07437
605	89622.80753
606	89608.64389
607	89604.51085
608	89602.46174
609	89600.00799
610	89596.31215
611	89592.92567
612	89588.89492
613	89585.11396
614	89582.64049
615	89580.45182
616	89579.02533
617	89575.75957
618	89573.51268
619	89570.864
620	89569.27963
621	89565.6574
622	89564.58596
623	89559.27126
624	89557.616
625	89552.00555
626	89550.67331
627	89548.59306
628	89545.20187
629	89541.94981
